thread_id,timestamp,user_id,text,toxic,toxicity_score,language
0,0,user_333,Kaha gaye wo log jo bolte the modi taramp ek hai ab sale mar gaye keya,1,1.0,other
0,1,user_333,बहकाने से भी कभी कभी वोट मिलते हैं पर हमेशा नहीं --- लोकसभा चुनाव से अब तक अधिकतर मोदी जी का जादू कायम है तो यह बहाना काम का नहीं है ---- आप लोग जब तक बहुसंख्यक हिन्दू समाज़ की धर्मनिरपेक्षता के नाम पर अवहेलना करते रहोगे तब तक वोटो का धुर्वीकरण मोदी जी जैसा नेता जरूर करेंगे --- अब भी वक्त है बहु संख्यक हिन्दू समाज़ की अवेल्हाना करना छोड़ दो और खुद को 80 के दशक की तरह सच्चे धर्मनिरपेक्ष बनो,1,1.0,hi
0,2,user_147,PM talakh pe buzzy hai,1,1.0,other
0,3,user_198,Inko apne kamo pe barosa hain ke nahi jo itne sare pracharak LA rahe hain ab galyio main bhi kendra ke mantri kam chodhkar gumenge?,1,1.0,other
0,4,user_198,TUM LOGO NE TO PURE DES ME HINSA FAILA RAKHA HAI DILIP GHOS JI,1,1.0,en
0,5,user_198,श्री श्री जिनके  लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते,1,1.0,hi
0,6,user_333,bike nai dikhani to ladkion ko laao bc lingerie me 😂,0,0.0,en
0,7,user_333,सुप्रीम कोर्ट दिल्ली के 16 दिसंबर गैंगरेप मामले में दोषियों की अपील पर 18 जुलाई से जल्द सुनवाई पूरी करेगी। मामले की सुनवाई सोमवार और शुक्रवार को 2 बजे से 6 बजे तक फास्‍ट ट्रैक कोर्ट की…,0,0.0,hi
0,8,user_629,यदि शहीद हेमराज का सिर नहीं ला सकते हो तो कम से कम 10 पाकिस्तानी सिर लाकर दो।ऐसी घटनाएं लगातार हो रही है और हमें हर हाल में बदला लेने की जरूरत है।............ ये शब्द थे हमारी विदेश मंत्री सुषमा स्वराज जी के 2013 में नेता प्रतिपक्ष में रहते हुए और अब ये क्या करने जा रही है और वो साहब 56 इंच के सीने वाले तो नाम जाने क्या क्या बोलते थे पर अब पता लगा ये सभी लोग बस ....................... लगें हुए हैं।,1,1.0,hi
0,9,user_629,"ab bahat howa aur nahi rona hai....aur nahi sardhanjali dena hai,,.........????ab sale harami ke pillo ko jake ghoske marna hai................ab ooh log apni hat par kar rahe hai.... PARA SF(ARMY)...MARCOS( NAVY)  , GARUD FORCE (AIR FORCE)  sab ko oder dena hai bas ....baki onka KAM TAMAM HOO JAE GA",1,1.0,other
0,10,user_629,"but mai ek baar kisi Muslim ko PM dekhna chahta hu,taki world ko malum chale ki hme bhi hindu ki tarah samman mila h.aisa koi post nhi h jha pe muslimo ki bhagidari nhi h.",0,0.0,en
0,11,user_333,गांड में दम  नहीं  हम किसी से कम नहीं l,1,1.0,hi
0,12,user_629,ट्रांसजेंडर्स को बैंक खाता खोलने और बैंक सेवाओं का उपयोग करने में सहायता देने के उद्देश्य से भारतीय रिजर्व बैंक ने बैंकों निर्देश दिया है कि वे अपने सभी फॉर्म और प्रार्थना प्रपत्रों में ‘तीसरे लिंग’का कॉलम जोड़ें।,0,0.0,hi
0,13,user_629,Abhay dixit aj to jamanat bhi jabat ho gyi aam admi party ki,1,1.0,en
0,14,user_333,Bujang baba TUNTOA CHUP HEI  REH. PASHUON KA CHARA HAZAM KAR GYA. ROAD SHOW DEKH KAR TEREY PEAT MEIN KYUN EATHAN HOA RAHI HEI.,1,1.0,other
0,15,user_333,Tum bhi.masjid maim bhajan karwao.agar mohbat tumhe bhi hai,1,1.0,other
0,16,user_198,Ye to ...Chani se sona hai to JAAG JAO ...style voice  hai :),0,0.0,en
0,17,user_333,bado  ko  bhi  pakdo.  unhe  bhi  be  nakab  karo  jo  des  k   liye   nahi  apne  liye  aur  vyktigat  ricord  k  liye  khelte  hai  jisse  unki   market  velu  badhe.,1,1.0,en
0,18,user_147,Gud hai 10-12 awara kuta chhod kr enko sbko smjana hoga,1,1.0,de
0,19,user_333,Bhenchod apni dekh le aeise bal he jeise maa k chut se nikal te nikal te ghis gya ya fir koi wahi time pe lund pel diya hoga ..,1,1.0,de
